index,Player,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%
446,Furkan Korkmaz,26,"$1,465,920",1st Round Pick,"$3,205,920",20,PHI,12,69,6.5,0.446,0.625,0.167,3.3,13.6,8.6,6,1.4,1.2
447,Fred VanVleet,62,"$1,312,611",,$0,23,TOR,73,1478,16.2,0.562,0.478,0.184,1.9,11.7,6.9,22.6,2.2,1
448,Frank Ntilikina,8,"$3,501,120",1st Round Pick,"$7,656,840",19,NYK,74,1566,6.5,0.429,0.313,0.15,2.3,9.2,5.8,19.8,1.9,0.9
449,Frank Mason,34,"$1,184,385",,"$2,562,627",23,SAC,51,972,13.1,0.479,0.224,0.301,3.4,12.1,7.5,22.8,1.8,1
450,Frank Kaminsky,9,"$2,847,600",1st round pick,"$6,475,442",24,CHO,76,1755,14,0.542,0.38,0.281,2.7,14.4,8.4,10.8,1,0.9
451,Evan Turner,2,"$17,131,148",Cap Space,"$53,606,557",29,POR,75,1910,9.9,0.519,0.224,0.195,1.7,11.5,6.6,12.4,1,1.1
452,Evan Fournier,20,"$17,000,000",Cap Space,"$51,000,000",25,ORL,57,1837,15.6,0.577,0.418,0.216,1.4,9.5,5.4,14.8,1.3,0.7
453,E'Twaun Moore,55,"$8,445,024",Cap Space,"$25,918,637",28,NOP,78,2468,11.9,0.587,0.364,0.079,2.5,7.5,5.1,10,1.5,0.4
454,Ersan Ilyasova,36,"$6,000,000",,"$6,000,000",30,TOT,65,1627,14.5,0.555,0.414,0.216,7.6,17.5,12.6,7.6,1.7,1.2
455,Ersan Ilyasova,36,"$6,000,000",,"$6,000,000",30,ATL,46,1175,15.1,0.569,0.424,0.224,7,16.8,11.9,6.8,1.8,1.2
456,Ersan Ilyasova,36,"$6,000,000",,"$6,000,000",30,PHI,19,452,13.1,0.523,0.391,0.195,8.9,19.3,14.3,9.5,1.5,1.1
457,Erik McCree,62,$0,,$0,24,UTA,4,8,-8.9,0,0.5,0,0,14.1,7.1,0,6.3,0
458,Eric Moreland,62,"$1,739,333",MLE,"$1,739,333",26,DET,63,715,13,0.511,0,0.26,11,27.4,19,13.5,1.7,5.7
459,Eric Gordon,7,"$12,943,020",Cap Space,"$40,501,125",29,HOU,68,2127,15.3,0.58,0.623,0.251,1.3,7.6,4.5,11.6,1,1.1
460,Eric Bledsoe,18,"$14,500,000",Bird Rights,"$29,500,000",28,MIL,67,2126,19.6,0.58,0.366,0.316,2.5,11.8,7.2,25.2,3.2,1.5
461,Eric Bledsoe,18,"$14,500,000",Bird Rights,"$29,500,000",28,TOT,70,2209,19.3,0.577,0.364,0.318,2.6,11.5,7.1,24.9,3.2,1.5
462,Eric Bledsoe,18,"$14,500,000",Bird Rights,"$29,500,000",28,PHO,3,83,13,0.509,0.325,0.35,3.8,5.3,4.5,17.9,2.3,1.9
463,Enes Kanter,3,"$20,566,802",Bird Rights,"$20,566,802",25,NYK,71,1830,24,0.63,0.003,0.258,16.6,30.6,23.7,9.5,1,1.8
464,Emmanuel Mudiay,7,"$3,381,480",1st round pick,"$7,675,960",21,NYK,21,485,10.6,0.432,0.223,0.252,2.3,10.7,6.5,25.4,2,1.3
465,Emmanuel Mudiay,7,"$3,381,480",1st round pick,"$7,675,960",21,DEN,42,752,12.3,0.504,0.317,0.242,2.4,11.7,7,24,1.4,0.4
466,Emmanuel Mudiay,7,"$3,381,480",1st round pick,"$7,675,960",21,TOT,63,1237,11.6,0.476,0.281,0.246,2.4,11.3,6.8,24.6,1.6,0.8
467,Emeka Okafor,2,"$239,204",,"$239,204",35,NOP,24,341,16.3,0.538,0,0.228,15.2,21.9,18.7,2.8,1.1,5.8
468,Elfrid Payton,10,"$3,332,340",1st Round Pick,"$3,332,340",23,TOT,63,1808,16.6,0.538,0.138,0.252,3.8,12.8,8.3,34.9,2.2,1
469,Elfrid Payton,10,"$3,332,340",1st Round Pick,"$3,332,340",23,ORL,44,1257,18.1,0.564,0.146,0.249,4.1,11.2,7.6,35.4,2.5,1
470,Elfrid Payton,10,"$3,332,340",1st Round Pick,"$3,332,340",23,PHO,19,551,13.1,0.481,0.12,0.258,3.2,16.4,9.7,33.9,1.7,0.9
471,Ekpe Udoh,6,"$3,200,000",Room Exception,"$3,200,000",30,UTA,59,783,15.3,0.566,0.009,0.487,9.4,11.4,10.4,9.1,2.7,7.8
472,Ed Davis,13,"$6,352,531",Cap Space,"$6,352,531",28,POR,76,1439,15.8,0.61,0.003,0.387,13.9,28.6,21.3,4,1.1,2.9
473,Dwyane Wade,5,"$15,550,000",,"$15,550,000",36,CLE,46,1069,15.9,0.519,0.161,0.308,4.1,14.6,9.5,23.3,1.9,2.6
474,Dwyane Wade,5,"$15,550,000",,"$15,550,000",36,TOT,64,1476,15.5,0.506,0.163,0.281,3.8,14.7,9.3,23.7,1.9,2.6
475,Dwyane Wade,5,"$15,550,000",,"$15,550,000",36,MIA,18,407,14.4,0.48,0.167,0.227,2.8,14.9,8.9,24.8,2,2.7
476,Dwight Powell,45,"$9,003,125",Cap Space,"$18,634,375",26,DAL,76,1587,18.7,0.661,0.173,0.43,8.9,21.1,14.8,8.1,2,1.7
477,Dwight Howard,1,"$23,500,000",Cap Space,"$47,319,725",32,CHO,78,2384,20.5,0.578,0.008,0.642,10.9,33.4,21.9,7.1,1,4.5
478,Dwight Buycks,62,"$748,160",Two-Way Converted,"$748,160",28,DET,29,427,12.8,0.498,0.227,0.207,3,7.7,5.3,22.4,2.2,0.4
479,Dwayne Bacon,40,"$815,615",MLE,"$2,193,857",22,CHO,53,713,5.8,0.431,0.224,0.13,0.6,18.6,9.4,7.6,1.1,0.2
480,Draymond Green,35,"$16,400,000",Bird Rights,"$52,408,695",27,GSW,66,2171,16.4,0.555,0.409,0.28,4.1,21.1,13.2,29.1,2,3.2
481,Dragan Bender,4,"$4,468,800",1st Round pick,"$9,130,080",20,PHO,79,1957,6.6,0.512,0.666,0.105,1.9,16.2,8.9,9,0.5,2.1
482,Doug McDermott,11,"$3,294,994",1st Round Pick,"$3,294,994",26,DAL,24,552,11.7,0.613,0.425,0.168,1.4,11.6,6.3,7.9,0.8,0.5
483,Doug McDermott,11,"$3,294,994",1st Round Pick,"$3,294,994",26,NYK,55,1172,9.9,0.562,0.418,0.162,3.1,9.5,6.3,6,0.4,0.9
484,Doug McDermott,11,"$3,294,994",1st Round Pick,"$3,294,994",26,TOT,79,1724,10.5,0.579,0.42,0.164,2.6,10.2,6.3,6.6,0.5,0.8
485,Dorian Finney-Smith,62,"$1,312,611",Minimum Salary,"$1,312,611",24,DAL,18,344,6.3,0.468,0.595,0.155,5,13,8.9,7,1,1
486,Donovan Mitchell,13,"$2,621,280",1st Round Pick,"$5,732,760",21,UTA,75,2512,16.5,0.541,0.407,0.209,2.2,10.1,6.2,19.2,2.2,0.9
