SKUPNO število testiranj,SKUPNO dnevno število testiranj,Dnevno število PCR testiranj,SKUPNO število pozitivnih oseb,SKUPNO DNEVNO število pozitivnih oseb,Skupno število hospitaliziranih oseb na posamezni dan,Skupno število oseb na intenzivni negi na posamezni dan,Dnevno število odpuščenih oseb iz bolnišnic,Skupno število umrlih
124754.0,848.0,848.0,2052.0,19.0,23.0,2.0,3.0,115.0
125672.0,918.0,918.0,2066.0,14.0,19.0,4.0,4.0,116.0
126237.0,565.0,565.0,2082.0,16.0,21.0,4.0,2.0,116.0
126572.0,335.0,335.0,2087.0,5.0,20.0,3.0,1.0,116.0
127446.0,874.0,874.0,2101.0,14.0,17.0,3.0,3.0,117.0
128365.0,919.0,919.0,2115.0,14.0,21.0,4.0,0.0,117.0
129244.0,879.0,879.0,2139.0,24.0,22.0,5.0,0.0,118.0
130161.0,917.0,917.0,2156.0,17.0,24.0,5.0,0.0,119.0
131053.0,892.0,892.0,2171.0,15.0,22.0,5.0,2.0,119.0
131427.0,374.0,374.0,2180.0,9.0,22.0,2.0,0.0,120.0
131699.0,272.0,272.0,2181.0,1.0,20.0,1.0,0.0,122.0
132589.0,890.0,890.0,2190.0,9.0,22.0,2.0,3.0,123.0
133563.0,974.0,974.0,2208.0,18.0,22.0,3.0,2.0,124.0
134334.0,771.0,771.0,2223.0,15.0,24.0,3.0,1.0,125.0
135087.0,753.0,753.0,2233.0,10.0,24.0,4.0,1.0,125.0
135916.0,829.0,829.0,2247.0,14.0,22.0,3.0,1.0,126.0
136220.0,304.0,304.0,2249.0,2.0,24.0,3.0,0.0,127.0
136542.0,332.0,332.0,2255.0,6.0,24.0,2.0,0.0,128.0
137600.0,1058.0,1058.0,2272.0,17.0,23.0,2.0,1.0,129.0
138718.0,1118.0,1118.0,2303.0,31.0,23.0,2.0,1.0,129.0
139574.0,856.0,856.0,2332.0,29.0,19.0,2.0,5.0,129.0
140511.0,937.0,937.0,2369.0,37.0,18.0,3.0,4.0,129.0
141545.0,1034.0,1034.0,2401.0,32.0,16.0,3.0,4.0,129.0
141927.0,382.0,382.0,2416.0,15.0,17.0,4.0,1.0,129.0
142320.0,393.0,393.0,2429.0,13.0,19.0,3.0,0.0,129.0
143463.0,1143.0,1143.0,2456.0,27.0,16.0,3.0,3.0,129.0
144555.0,1092.0,1092.0,2493.0,37.0,17.0,3.0,0.0,129.0
145723.0,1168.0,1168.0,2536.0,43.0,17.0,2.0,3.0,129.0
146819.0,1096.0,1096.0,2574.0,38.0,18.0,0.0,1.0,130.0
148022.0,1203.0,1203.0,2617.0,43.0,18.0,0.0,2.0,131.0
148782.0,760.0,760.0,2651.0,34.0,17.0,0.0,1.0,131.0
149235.0,543.0,543.0,2665.0,14.0,17.0,0.0,1.0,133.0
150695.0,1370.0,1370.0,2686.0,21.0,17.0,0.0,2.0,133.0
152134.0,1439.0,1439.0,2722.0,36.0,20.0,0.0,1.0,133.0
153433.0,1299.0,1299.0,2755.0,33.0,23.0,0.0,0.0,133.0
154771.0,1338.0,1338.0,2797.0,42.0,22.0,1.0,4.0,133.0
156099.0,1328.0,1328.0,2834.0,37.0,23.0,2.0,1.0,133.0
156868.0,769.0,769.0,2865.0,31.0,24.0,2.0,0.0,133.0
157456.0,588.0,588.0,2883.0,18.0,25.0,3.0,0.0,133.0
158871.0,1415.0,1415.0,2924.0,41.0,25.0,2.0,3.0,133.0
160479.0,1608.0,1608.0,2979.0,55.0,26.0,4.0,2.0,134.0
162132.0,1653.0,1653.0,3032.0,53.0,26.0,4.0,3.0,134.0
163865.0,1733.0,1733.0,3079.0,47.0,24.0,3.0,4.0,134.0
165573.0,1708.0,1708.0,3122.0,43.0,22.0,3.0,5.0,135.0
166785.0,1212.0,1212.0,3165.0,43.0,23.0,3.0,1.0,135.0
